keyword,vertical,weight
Künstliche Intelligenz,AI_AUTOMATION,9.3
ki,AI_AUTOMATION,8.4
ai,AI_AUTOMATION,8.4
bot,AI_AUTOMATION,4.0
chatbot,AI_AUTOMATION,0.0
prompt,AI_AUTOMATION,4.0
anwendungen,AI_AUTOMATION,6.2
automation,AI_AUTOMATION,19.5
automatisierung,AI_AUTOMATION,21.2
based,AI_AUTOMATION,6.2
datenanalyse,AI_AUTOMATION,7.1
digitalen,AI_AUTOMATION,46.0
digitalisierung,AI_AUTOMATION,4.0
geschäftsmodelle,AI_AUTOMATION,2.2
gestützte,AI_AUTOMATION,7.1
innovation,AI_AUTOMATION,7.1
low,AI_AUTOMATION,3.1
model,AI_AUTOMATION,6.2
neuromarketing,AI_AUTOMATION,5.8
owner,AI_AUTOMATION,5.8
process,AI_AUTOMATION,3.1
prozessautomatisierung,AI_AUTOMATION,3.5
prozessmanager,AI_AUTOMATION,6.6
transformation,AI_AUTOMATION,8.8
vertriebsprozessen,AI_AUTOMATION,2.7
bpmn,ITS,6.2
cloud,ITS,2.7
code,ITS,3.5
datenarchitektur,ITS,3.1
developer,ITS,2.2
development,ITS,4.9
scrum,ITS,6.6
software,ITS,3.1
softwareentwicklung,ITS,8.4
softwareentwicklungsgrundlagen,ITS,2.7
tools,ITS,4.9
user,ITS,5.3
workflow,ITS,6.2
account,PM,11.1
act,PM,4.0
agile,PM,9.3
analytics,PM,4.4
ansätze,PM,2.7
beratung,PM,5.8
bereich,PM,5.3
best,PM,3.5
bewerbung,PM,2.2
business,PM,15.5
certified,PM,2.2
chancen,PM,3.1
change,PM,9.7
coaching,PM,7.5
commerce,PM,3.1
compliance,PM,5.3
consultant,PM,16.4
consulting,PM,4.9
crm,PM,18.1
customer,PM,14.2
design,PM,9.3
effektives,PM,7.1
effizientes,PM,3.5
effizienzsteigerung,PM,4.0
einem,PM,7.5
einführung,PM,15.0
einsatz,PM,3.5
enablement,PM,4.4
entwicklung,PM,6.2
ethische,PM,2.2
executive,PM,2.2
experience,PM,10.6
fokus,PM,25.7
funnels,PM,2.7
führen,PM,2.2
führungskompetenzen,PM,3.5
grundlagen,PM,20.8
hubspot,PM,7.5
kampagnen,PM,3.5
kundenorientierte,PM,2.2
lead,PM,2.2
leadership,PM,3.5
lösungen,PM,2.2
management,PM,26.5
manager,PM,47.8
marketing,PM,19.0
master,PM,3.5
methoden,PM,10.6
methodenvielfalt,PM,3.5
nutzung,PM,2.7
optimierung,PM,11.1
portfolio,PM,2.2
power,PM,4.0
practices,PM,3.5
praktische,PM,2.2
product,PM,15.9
produkten,PM,7.5
produktentwicklung,PM,2.2
produktmanagement,PM,27.4
produktmanager,PM,8.0
projektmanagement,PM,8.8
psychologie,PM,2.7
research,PM,3.5
saas,PM,7.5
sales,PM,41.2
salesforce,PM,5.3
pipeline,PM,1.3
verkauf,PM,0.0
akquise,PM,0.0
schwerpunkt,PM,100.0
selbstständigkeit,PM,4.4
selling,PM,11.1
social,PM,2.2
solution,PM,12.4
spezialisierung,PM,4.9
spezialist,PM,3.1
strategien,PM,29.6
success,PM,4.0
techniken,PM,4.0
technischer,PM,6.2
thinking,PM,2.7
unternehmensführung,PM,3.1
validierung,PM,3.1
verkaufspsychologie,PM,7.5
verkaufsstrategien,PM,7.1
vertiefung,PM,5.3
vertrieb,PM,38.5
vertriebsstrategien,PM,4.0
vertriebstechniken,PM,4.4
weiterbildung,PM,16.4
